,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Carmen,MX,84.24,few clouds,18.6333,-91.8333,Hotel Lossandes
3,Bull Savanna,JM,80.62,scattered clouds,17.8868,-77.5902,Big Red's
4,Puerto Ayora,EC,75.16,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
6,Ende,ID,78.3,moderate rain,-8.8432,121.6623,Dwi Putra Hotel - Ende
13,Barmer,IN,75.31,clear sky,25.75,71.3833,OYO 71911 Hotel Amber Palace
18,Rikitea,PF,75.13,broken clouds,-23.1203,-134.9692,People ThankYou
26,Mamallapuram,IN,78.85,overcast clouds,12.6264,80.1722,Radisson Blu Resort Temple Bay Mamallapuram
33,Kavaratti,IN,82.35,scattered clouds,10.5669,72.642,Green leaf
58,Sao Joao Da Barra,BR,77.09,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
63,Butaritari,KI,80.38,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
64,Dori,BF,84.33,clear sky,14.0354,-0.0345,Hôtel Liptako
65,Hilo,US,81.1,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
69,Mar Del Plata,AR,79.83,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
84,Vallenar,CL,78.46,overcast clouds,-28.5708,-70.7581,Humacao Bed & Breakfast
86,Luanda,AO,80.6,broken clouds,-8.8368,13.2343,EPIC SANA Luanda
87,Ayolas,PY,81.79,light rain,-27.4,-56.9,Hotel Ayolas
88,Salalah,OM,76.59,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
89,Puerto Escondido,MX,85.71,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
90,Hambantota,LK,77.34,moderate rain,6.1241,81.1185,Bungalow 63
91,Luwuk,ID,77.58,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
97,Necochea,AR,82.0,overcast clouds,-38.5473,-58.7368,dyd -mar Hotel
102,Padang,ID,76.8,moderate rain,-0.9492,100.3543,Mercure Padang
105,Gizo,SB,82.11,moderate rain,-8.103,156.8419,Imagination Island
107,Acapulco,MX,84.83,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
108,Faanui,PF,78.3,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
109,Buala,SB,79.65,light rain,-8.145,159.5921,Maringe Lagoon Lodge
110,Maningrida,AU,81.64,overcast clouds,-12.0667,134.2667,Dhukurrdji Lodge
112,Lorengau,PG,81.01,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
114,Kloulklubed,PW,83.93,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
116,Kapaa,US,80.1,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
117,Vila Velha,BR,80.55,clear sky,-20.3297,-40.2925,Hotel Vitória Palace
118,Olinda,BR,83.93,few clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
119,Caravelas,BR,75.07,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
121,Road Town,VG,84.29,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
123,Avarua,CK,75.25,few clouds,-21.2078,-159.775,Paradise Inn
124,Atuona,PF,76.77,overcast clouds,-9.8,-139.0333,Villa Enata
127,Waingapu,ID,79.0,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
129,Lubao,PH,80.31,overcast clouds,14.9167,120.55,Hacienda Gracia
132,Nanakuli,US,80.87,clear sky,21.3906,-158.1547,Camp Pālehua
140,Vaini,TO,75.36,few clouds,-21.2,-175.2,Keleti Beach Resort
143,Nakhon Si Thammarat,TH,75.02,overcast clouds,8.25,100.0,ร้านไอซ์โมสีshop
149,Manzanillo,CU,84.87,clear sky,20.3433,-77.1167,"HOSTAL ""THE YELLOW HOUSE"""
158,Bathsheba,BB,88.41,scattered clouds,13.2167,-59.5167,Atlantis Hotel
159,Kathu,TH,84.74,broken clouds,7.9178,98.3332,Novotel Phuket Resort
165,Porto Novo,BJ,84.02,broken clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
167,Mindelo,CV,80.15,broken clouds,16.8901,-24.9804,Hotel Gaudi
179,Garissa,KE,84.02,overcast clouds,-0.4536,39.6401,Sharif Plaza Hotel
181,Hithadhoo,MV,81.34,light rain,-0.6,73.0833,Scoop Guest House
182,Kibala,TD,80.55,clear sky,9.1104,18.3463,Prasant Hotels
189,Yola,NG,85.06,scattered clouds,9.2,12.4833,Muna Hotel
190,Beira,MZ,79.0,broken clouds,-19.8436,34.8389,Beira Terrace Hotel
192,Chisec,GT,84.43,scattered clouds,15.8167,-90.2833,Hotel Estancia De La Virgen
194,Celestun,MX,83.97,scattered clouds,20.8667,-90.4,Posada Lilia
195,Itoman,JP,75.22,scattered clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
202,Adelaide,AU,77.32,clear sky,-34.9333,138.6,The Chancellor on Currie
203,Bubaque,GW,83.75,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
207,Cayenne,GF,84.24,few clouds,4.9333,-52.3333,Hôtel Le Dronmi
210,Sal Rei,CV,79.0,broken clouds,16.1833,-22.9167,Marine Club Beach Resort
211,Ratnagiri,IN,75.83,clear sky,16.9833,73.3,Hotel Landmark
212,Cabo San Lucas,MX,84.61,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
216,Dingle,PH,75.4,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
220,Katherine,AU,82.72,broken clouds,-14.4667,132.2667,Pine Tree Motel
224,Xuddur,SO,77.14,light rain,4.1213,43.8894,Banjanay Hotel
226,Frontera Comalapa,MX,80.1,light rain,15.65,-92.1333,Hotel del Angel
229,Chhabra,IN,76.17,overcast clouds,24.6667,76.8333,Vishnu
232,Alyangula,AU,81.81,few clouds,-13.8483,136.4192,Groote Eylandt Lodge
233,Dondo,MZ,75.72,light rain,-19.6094,34.7431,Pensao Casual
235,Kalmunai,LK,76.14,very heavy rain,7.4167,81.8167,VS Villa
240,Dakar,SN,83.28,clear sky,14.6937,-17.4441,Novotel Dakar
242,Balabac,PH,81.03,overcast clouds,7.9868,117.0645,Batalla’s Lodging House
244,Comodoro Rivadavia,AR,82.26,scattered clouds,-45.8667,-67.5,Austral Hotel
248,Georgetown,MY,81.23,few clouds,5.4112,100.3354,Cititel Penang
253,Sur,OM,82.47,broken clouds,22.5667,59.5289,Sur Plaza Hotel
257,Todos Santos,MX,82.04,few clouds,23.45,-110.2167,Hotel California Todos Santos
