City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Carmen,MX,18.6333,-91.8333,84.24,70,20,4.61,few clouds
1,Rio Gallegos,AR,-51.6226,-69.2181,62.65,34,75,20.71,broken clouds
2,Sergach,RU,55.5308,45.4661,36.66,87,100,14.5,overcast clouds
3,Bull Savanna,JM,17.8868,-77.5902,80.62,66,31,6.89,scattered clouds
4,Puerto Ayora,EC,-0.7393,-90.3518,75.16,78,69,5.99,broken clouds
5,Fortuna,US,40.5982,-124.1573,46.74,96,100,5.75,overcast clouds
6,Ende,ID,-8.8432,121.6623,78.3,88,100,2.8,moderate rain
7,Busselton,AU,-33.65,115.3333,57.45,84,85,3.6,overcast clouds
8,Cape Town,ZA,-33.9258,18.4232,64.81,64,75,12.66,broken clouds
9,Vao,NC,-22.6667,167.4833,74.7,85,9,10.09,light rain
10,Ushuaia,AR,-54.8,-68.3,55.02,50,40,25.32,scattered clouds
11,Clyde River,CA,70.4692,-68.5914,10.63,85,100,11.5,light snow
12,Sovetskiy,RU,61.3614,63.5842,25.21,98,98,4.03,overcast clouds
13,Barmer,IN,25.75,71.3833,75.31,26,0,6.69,clear sky
14,Riosucio,CO,5.4216,-75.7032,71.71,68,83,2.8,broken clouds
15,Barrow,US,71.2906,-156.7887,30.22,93,100,14.97,light snow
16,Iqaluit,CA,63.7506,-68.5145,15.53,72,75,2.3,broken clouds
17,Mataura,NZ,-46.1927,168.8643,49.69,92,93,1.99,overcast clouds
18,Rikitea,PF,-23.1203,-134.9692,75.13,90,65,15.41,broken clouds
19,Constitucion,CL,-35.3333,-72.4167,59.47,77,100,6.58,overcast clouds
20,Esperance,AU,-33.8667,121.9,58.39,77,100,8.59,overcast clouds
21,Ketchikan,US,55.3422,-131.6461,30.67,40,0,8.05,clear sky
22,Nelson Bay,AU,-32.7167,152.15,62.01,96,0,1.99,clear sky
23,Jalu,LY,29.0331,21.5482,68.4,56,24,5.57,few clouds
24,Port Elizabeth,ZA,-33.918,25.5701,66.09,84,40,8.99,scattered clouds
25,Bure,ET,10.7,37.0667,56.66,79,5,5.28,clear sky
26,Mamallapuram,IN,12.6264,80.1722,78.85,81,97,11.74,overcast clouds
27,Okhotsk,RU,59.3833,143.3,1.56,74,0,19.24,clear sky
28,Guozhen,CN,34.3659,107.359,53.73,95,92,1.63,overcast clouds
